Year,Product Name,Product Category,City,State,Returns,Quantity,Price,Gross Sales,Date
2021,Precision Eyeliner,Eyes,Chicago,IL,8,135,10," 1,350.00 ",12/1/2021
2024,Cream Blush,Face,Washington D.C.,DC,9,133,25," 3,325.00 ",9/1/2024
2023,Lip Liner Cream Pencil,Lips,Dallas,TX,19,128,10," 1,280.00 ",9/1/2023
2021,Matte Liquid Lipstick,Lips,Los Angeles,CA,10,133,12," 1,596.00 ",3/1/2021
2022,Precision Eyeliner,Eyes,Washington D.C.,DC,16,65,10, 650.00 ,8/1/2022
2023,Velvet Eyeshadow Palette,Eyes,Washington D.C.,DC,10,137,20," 2,740.00 ",5/1/2023
2021,Precision Eyeliner,Eyes,Dallas,TX,8,134,10," 1,340.00 ",5/1/2021
2024,Radiant Concealer,Face,Las Vegas,NV,10,124,30," 3,720.00 ",9/1/2024
2024,Lip Liner Cream Pencil,Lips,San Diego,CA,2,44,10, 440.00 ,7/1/2024
2024,Flawless Foundation,Face,Los Angeles,CA,19,101,40," 4,040.00 ",6/1/2024
2022,Matte Liquid Lipstick,Lips,San Francisco,CA,14,108,12," 1,296.00 ",3/1/2022
2024,Matte Liquid Lipstick,Lips,Philadelphia,PA,2,72,12, 864.00 ,5/1/2024
2023,Lip Liner Cream Pencil,Lips,Chicago,IL,9,56,10, 560.00 ,10/1/2023
2023,Radiant Concealer,Face,Detroit,MI,4,74,30," 2,220.00 ",8/1/2023
2024,Lip Liner Cream Pencil,Lips,New York,NY,13,114,10," 1,140.00 ",6/1/2024
2024,Radiant Concealer,Face,San Diego,CA,5,169,30," 5,070.00 ",3/1/2024
2021,Velvet Eyeshadow Palette,Eyes,Washington D.C.,DC,14,185,20," 3,700.00 ",4/1/2021
2021,Luxe Mascara,Eyes,Miami,FL,3,84,15," 1,260.00 ",4/1/2021
2024,Matte Liquid Lipstick,Lips,Chicago,IL,10,61,12, 732.00 ,10/1/2024
2024,Flawless Foundation,Face,Boston,MA,5,43,40," 1,720.00 ",10/1/2024
2024,Luxe Mascara,Eyes,Las Vegas,NV,7,119,15," 1,785.00 ",7/1/2024
2021,Matte Liquid Lipstick,Lips,Miami,FL,18,121,12," 1,452.00 ",11/1/2021
2023,Glossy Lip Stain,Lips,San Francisco,CA,13,139,8," 1,112.00 ",7/1/2023
2022,Illuminating Highlighter,Face,Atlanta,GA,9,189,25," 4,725.00 ",4/1/2022
2021,Glossy Lip Stain,Lips,Washington D.C.,DC,4,81,8, 648.00 ,8/1/2021
2021,Radiant Concealer,Face,Philadelphia,PA,2,136,30," 4,080.00 ",5/1/2021
2024,Radiant Concealer,Face,New York,NY,14,46,30," 1,380.00 ",4/1/2024
2024,Precision Eyeliner,Eyes,Los Angeles,CA,17,89,10, 890.00 ,9/1/2024
2022,Illuminating Highlighter,Face,Atlanta,GA,13,177,25," 4,425.00 ",2/1/2022
2023,Luxe Mascara,Eyes,San Francisco,CA,5,154,15," 2,310.00 ",10/1/2023
2022,Luxe Mascara,Eyes,New York,NY,16,198,15," 2,970.00 ",5/1/2022
2023,Precision Eyeliner,Eyes,Los Angeles,CA,9,177,10," 1,770.00 ",1/1/2023
2023,Illuminating Highlighter,Face,Detroit,MI,7,78,25," 1,950.00 ",7/1/2023
2021,Cream Blush,Face,Houston,TX,17,92,25," 2,300.00 ",1/1/2021
2023,Illuminating Highlighter,Face,Chicago,IL,16,197,25," 4,925.00 ",5/1/2023
2024,Luxe Mascara,Eyes,San Francisco,CA,19,96,15," 1,440.00 ",2/1/2024
2023,Cream Blush,Face,Chicago,IL,4,194,25," 4,850.00 ",1/1/2023
2024,Matte Liquid Lipstick,Lips,Atlanta,GA,10,100,12," 1,200.00 ",10/1/2024
2021,Luxe Mascara,Eyes,New York,NY,19,117,15," 1,755.00 ",8/1/2021
2023,Precision Eyeliner,Eyes,Chicago,IL,13,105,10," 1,050.00 ",9/1/2023
2021,Precision Eyeliner,Eyes,New York,NY,18,90,10, 900.00 ,6/1/2021
2021,Radiant Concealer,Face,Las Vegas,NV,16,135,30," 4,050.00 ",9/1/2021
2021,Radiant Concealer,Face,Las Vegas,NV,7,58,30," 1,740.00 ",10/1/2021
2021,Matte Liquid Lipstick,Lips,Chicago,IL,4,49,12, 588.00 ,3/1/2021
2024,Velvet Eyeshadow Palette,Eyes,Boston,MA,7,132,20," 2,640.00 ",10/1/2024
2022,Precision Eyeliner,Eyes,Dallas,TX,17,62,10, 620.00 ,7/1/2022
2023,Precision Eyeliner,Eyes,Dallas,TX,17,193,10," 1,930.00 ",2/1/2023
2022,Illuminating Highlighter,Face,Atlanta,GA,13,159,25," 3,975.00 ",3/1/2022
2023,Flawless Foundation,Face,New York,NY,7,102,40," 4,080.00 ",4/1/2023
2024,Lip Liner Cream Pencil,Lips,San Francisco,CA,5,94,10, 940.00 ,8/1/2024
2021,Precision Eyeliner,Eyes,San Francisco,CA,16,49,10, 490.00 ,7/1/2021
2023,Velvet Eyeshadow Palette,Eyes,Phoenix,AZ,19,86,20," 1,720.00 ",8/1/2023
2024,Cream Blush,Face,Boston,MA,15,198,25," 4,950.00 ",8/1/2024
2024,Glossy Lip Stain,Lips,Houston,TX,5,107,8, 856.00 ,4/1/2024
2023,Flawless Foundation,Face,Detroit,MI,7,72,40," 2,880.00 ",11/1/2023
2022,Flawless Foundation,Face,Houston,TX,12,165,40," 6,600.00 ",5/1/2022
2022,Radiant Concealer,Face,Miami,FL,7,43,30," 1,290.00 ",4/1/2022
2021,Cream Blush,Face,Boston,MA,13,173,25," 4,325.00 ",10/1/2021
2023,Precision Eyeliner,Eyes,Phoenix,AZ,7,45,10, 450.00 ,3/1/2023
2024,Velvet Eyeshadow Palette,Eyes,Miami,FL,6,167,20," 3,340.00 ",12/1/2024
2024,Lip Liner Cream Pencil,Lips,New York,NY,16,170,10," 1,700.00 ",11/1/2024
2023,Glossy Lip Stain,Lips,Atlanta,GA,19,114,8, 912.00 ,8/1/2023
2022,Luxe Mascara,Eyes,Philadelphia,PA,15,169,15," 2,535.00 ",6/1/2022
2024,Luxe Mascara,Eyes,Dallas,TX,11,110,15," 1,650.00 ",5/1/2024
2023,Lip Liner Cream Pencil,Lips,Phoenix,AZ,19,194,10," 1,940.00 ",7/1/2023
2022,Luxe Mascara,Eyes,Houston,TX,1,104,15," 1,560.00 ",8/1/2022
2022,Velvet Eyeshadow Palette,Eyes,New York,NY,15,54,20," 1,080.00 ",8/1/2022
2023,Illuminating Highlighter,Face,Dallas,TX,10,62,25," 1,550.00 ",12/1/2023
2021,Illuminating Highlighter,Face,Dallas,TX,18,165,25," 4,125.00 ",1/1/2021
2021,Flawless Foundation,Face,Washington D.C.,DC,4,93,40," 3,720.00 ",8/1/2021
2021,Matte Liquid Lipstick,Lips,Philadelphia,PA,2,192,12," 2,304.00 ",9/1/2021
2021,Glossy Lip Stain,Lips,Phoenix,AZ,13,113,8, 904.00 ,9/1/2021
2021,Matte Liquid Lipstick,Lips,New York,NY,13,67,12, 804.00 ,5/1/2021
2021,Cream Blush,Face,Washington D.C.,DC,19,111,25," 2,775.00 ",3/1/2021
2023,Precision Eyeliner,Eyes,Los Angeles,CA,12,179,10," 1,790.00 ",1/1/2023
2024,Velvet Eyeshadow Palette,Eyes,Atlanta,GA,13,68,20," 1,360.00 ",8/1/2024
2023,Flawless Foundation,Face,Chicago,IL,17,81,40," 3,240.00 ",6/1/2023
2024,Radiant Concealer,Face,Phoenix,AZ,3,142,30," 4,260.00 ",6/1/2024
2023,Velvet Eyeshadow Palette,Eyes,Atlanta,GA,4,95,20," 1,900.00 ",8/1/2023
2023,Radiant Concealer,Face,Washington D.C.,DC,2,190,30," 5,700.00 ",4/1/2023
2022,Velvet Eyeshadow Palette,Eyes,Dallas,TX,13,94,20," 1,880.00 ",7/1/2022
2021,Lip Liner Cream Pencil,Lips,Philadelphia,PA,15,40,10, 400.00 ,12/1/2021
2021,Radiant Concealer,Face,Los Angeles,CA,16,169,30," 5,070.00 ",2/1/2021
2022,Precision Eyeliner,Eyes,Atlanta,GA,12,145,10," 1,450.00 ",11/1/2022
2024,Lip Liner Cream Pencil,Lips,San Francisco,CA,11,108,10," 1,080.00 ",9/1/2024
2021,Matte Liquid Lipstick,Lips,Los Angeles,CA,13,89,12," 1,068.00 ",4/1/2021
2023,Flawless Foundation,Face,Chicago,IL,4,59,40," 2,360.00 ",2/1/2023
2024,Flawless Foundation,Face,New York,NY,7,98,40," 3,920.00 ",6/1/2024
2024,Radiant Concealer,Face,Boston,MA,1,137,30," 4,110.00 ",9/1/2024
2024,Radiant Concealer,Face,Miami,FL,16,127,30," 3,810.00 ",11/1/2024
2022,Flawless Foundation,Face,Las Vegas,NV,11,53,40," 2,120.00 ",1/1/2022
2021,Radiant Concealer,Face,Boston,MA,11,195,30," 5,850.00 ",8/1/2021
2024,Velvet Eyeshadow Palette,Eyes,San Diego,CA,2,65,20," 1,300.00 ",3/1/2024
2024,Illuminating Highlighter,Face,Boston,MA,10,84,25," 2,100.00 ",1/1/2024
2023,Illuminating Highlighter,Face,Houston,TX,11,124,25," 3,100.00 ",3/1/2023
2024,Velvet Eyeshadow Palette,Eyes,Dallas,TX,14,61,20," 1,220.00 ",10/1/2024
2022,Matte Liquid Lipstick,Lips,Houston,TX,14,144,12," 1,728.00 ",10/1/2022
2024,Lip Liner Cream Pencil,Lips,Boston,MA,16,179,10," 1,790.00 ",9/1/2024
2022,Cream Blush,Face,Phoenix,AZ,6,59,25," 1,475.00 ",10/1/2022
2023,Illuminating Highlighter,Face,Houston,TX,7,113,25," 2,825.00 ",12/1/2023
2024,Luxe Mascara,Eyes,Atlanta,GA,14,123,15," 1,845.00 ",2/1/2024
2021,Luxe Mascara,Eyes,Los Angeles,CA,13,162,15," 2,430.00 ",4/1/2021
2022,Glossy Lip Stain,Lips,Phoenix,AZ,5,196,8," 1,568.00 ",3/1/2022
2022,Lip Liner Cream Pencil,Lips,Detroit,MI,17,193,10," 1,930.00 ",10/1/2022
2023,Glossy Lip Stain,Lips,Atlanta,GA,4,41,8, 328.00 ,12/1/2023
2024,Precision Eyeliner,Eyes,San Francisco,CA,1,123,10," 1,230.00 ",12/1/2024
2024,Illuminating Highlighter,Face,Los Angeles,CA,10,47,25," 1,175.00 ",2/1/2024
2022,Precision Eyeliner,Eyes,Philadelphia,PA,1,187,10," 1,870.00 ",6/1/2022
2022,Lip Liner Cream Pencil,Lips,Las Vegas,NV,15,48,10, 480.00 ,10/1/2022
2023,Flawless Foundation,Face,Phoenix,AZ,13,174,40," 6,960.00 ",1/1/2023
2024,Cream Blush,Face,Dallas,TX,11,91,25," 2,275.00 ",8/1/2024
2022,Velvet Eyeshadow Palette,Eyes,Houston,TX,16,111,20," 2,220.00 ",11/1/2022
2023,Precision Eyeliner,Eyes,Phoenix,AZ,3,161,10," 1,610.00 ",8/1/2023
2021,Precision Eyeliner,Eyes,Miami,FL,15,46,10, 460.00 ,5/1/2021
2024,Cream Blush,Face,Philadelphia,PA,12,155,25," 3,875.00 ",11/1/2024
2023,Cream Blush,Face,Boston,MA,2,97,25," 2,425.00 ",9/1/2023
2024,Velvet Eyeshadow Palette,Eyes,Boston,MA,2,166,20," 3,320.00 ",6/1/2024
2021,Matte Liquid Lipstick,Lips,Houston,TX,8,129,12," 1,548.00 ",7/1/2021
2024,Radiant Concealer,Face,San Diego,CA,8,174,30," 5,220.00 ",8/1/2024
2023,Flawless Foundation,Face,Washington D.C.,DC,15,104,40," 4,160.00 ",8/1/2023
2024,Flawless Foundation,Face,Dallas,TX,10,124,40," 4,960.00 ",12/1/2024
2021,Glossy Lip Stain,Lips,Miami,FL,13,68,8, 544.00 ,11/1/2021
2021,Glossy Lip Stain,Lips,Chicago,IL,7,42,8, 336.00 ,11/1/2021
2021,Luxe Mascara,Eyes,San Francisco,CA,7,93,15," 1,395.00 ",5/1/2021
2024,Cream Blush,Face,Atlanta,GA,12,46,25," 1,150.00 ",8/1/2024
2023,Matte Liquid Lipstick,Lips,Houston,TX,4,88,12," 1,056.00 ",9/1/2023
2024,Precision Eyeliner,Eyes,Chicago,IL,19,40,10, 400.00 ,6/1/2024
2024,Velvet Eyeshadow Palette,Eyes,Dallas,TX,7,198,20," 3,960.00 ",12/1/2024
2024,Illuminating Highlighter,Face,Phoenix,AZ,17,41,25," 1,025.00 ",12/1/2024
2024,Illuminating Highlighter,Face,Boston,MA,8,109,25," 2,725.00 ",6/1/2024
2023,Illuminating Highlighter,Face,San Diego,CA,1,91,25," 2,275.00 ",10/1/2023
2021,Radiant Concealer,Face,Washington D.C.,DC,18,123,30," 3,690.00 ",7/1/2021
2024,Flawless Foundation,Face,Los Angeles,CA,19,116,40," 4,640.00 ",2/1/2024
2022,Velvet Eyeshadow Palette,Eyes,Chicago,IL,6,162,20," 3,240.00 ",4/1/2022
2022,Glossy Lip Stain,Lips,Dallas,TX,4,150,8," 1,200.00 ",10/1/2022
2022,Lip Liner Cream Pencil,Lips,Boston,MA,14,166,10," 1,660.00 ",6/1/2022
2024,Illuminating Highlighter,Face,Washington D.C.,DC,3,107,25," 2,675.00 ",8/1/2024
2022,Flawless Foundation,Face,New York,NY,17,118,40," 4,720.00 ",2/1/2022
2023,Velvet Eyeshadow Palette,Eyes,Chicago,IL,19,172,20," 3,440.00 ",8/1/2023
2022,Glossy Lip Stain,Lips,Houston,TX,8,83,8, 664.00 ,7/1/2022
2023,Illuminating Highlighter,Face,Dallas,TX,10,73,25," 1,825.00 ",10/1/2023
2022,Matte Liquid Lipstick,Lips,New York,NY,2,188,12," 2,256.00 ",4/1/2022
2021,Luxe Mascara,Eyes,Las Vegas,NV,8,161,15," 2,415.00 ",7/1/2021
2024,Lip Liner Cream Pencil,Lips,Miami,FL,18,52,10, 520.00 ,5/1/2024
2021,Lip Liner Cream Pencil,Lips,Los Angeles,CA,2,127,10," 1,270.00 ",1/1/2021
2022,Radiant Concealer,Face,Boston,MA,14,56,30," 1,680.00 ",8/1/2022
2021,Matte Liquid Lipstick,Lips,Las Vegas,NV,19,61,12, 732.00 ,2/1/2021
2024,Cream Blush,Face,Houston,TX,4,61,25," 1,525.00 ",9/1/2024
2023,Precision Eyeliner,Eyes,Philadelphia,PA,8,62,10, 620.00 ,12/1/2023
2021,Radiant Concealer,Face,Miami,FL,11,95,30," 2,850.00 ",12/1/2021
2024,Flawless Foundation,Face,Las Vegas,NV,12,101,40," 4,040.00 ",12/1/2024
2021,Matte Liquid Lipstick,Lips,Phoenix,AZ,19,45,12, 540.00 ,11/1/2021
2024,Lip Liner Cream Pencil,Lips,Washington D.C.,DC,10,136,10," 1,360.00 ",1/1/2024
2022,Precision Eyeliner,Eyes,Chicago,IL,6,63,10, 630.00 ,3/1/2022
2022,Velvet Eyeshadow Palette,Eyes,San Diego,CA,12,185,20," 3,700.00 ",4/1/2022
2023,Matte Liquid Lipstick,Lips,Phoenix,AZ,19,106,12," 1,272.00 ",12/1/2023
2023,Lip Liner Cream Pencil,Lips,Las Vegas,NV,14,86,10, 860.00 ,2/1/2023
2024,Glossy Lip Stain,Lips,Atlanta,GA,10,96,8, 768.00 ,2/1/2024
2023,Precision Eyeliner,Eyes,San Diego,CA,4,40,10, 400.00 ,5/1/2023
2021,Illuminating Highlighter,Face,New York,NY,18,102,25," 2,550.00 ",1/1/2021
2022,Precision Eyeliner,Eyes,Phoenix,AZ,9,148,10," 1,480.00 ",2/1/2022
2023,Illuminating Highlighter,Face,Detroit,MI,6,173,25," 4,325.00 ",12/1/2023
2024,Radiant Concealer,Face,New York,NY,19,65,30," 1,950.00 ",9/1/2024
2022,Precision Eyeliner,Eyes,Washington D.C.,DC,19,170,10," 1,700.00 ",10/1/2022
2024,Lip Liner Cream Pencil,Lips,Detroit,MI,6,98,10, 980.00 ,12/1/2024
2023,Velvet Eyeshadow Palette,Eyes,Las Vegas,NV,19,71,20," 1,420.00 ",4/1/2023
2024,Matte Liquid Lipstick,Lips,Miami,FL,8,131,12," 1,572.00 ",4/1/2024
2023,Lip Liner Cream Pencil,Lips,Houston,TX,8,120,10," 1,200.00 ",7/1/2023
2024,Radiant Concealer,Face,Los Angeles,CA,14,44,30," 1,320.00 ",4/1/2024
2024,Velvet Eyeshadow Palette,Eyes,Phoenix,AZ,7,167,20," 3,340.00 ",4/1/2024
2024,Matte Liquid Lipstick,Lips,Las Vegas,NV,16,51,12, 612.00 ,9/1/2024
2024,Illuminating Highlighter,Face,Las Vegas,NV,9,47,25," 1,175.00 ",12/1/2024
2022,Glossy Lip Stain,Lips,Phoenix,AZ,16,175,8," 1,400.00 ",3/1/2022
2023,Illuminating Highlighter,Face,Phoenix,AZ,7,198,25," 4,950.00 ",12/1/2023
2023,Lip Liner Cream Pencil,Lips,Las Vegas,NV,15,109,10," 1,090.00 ",9/1/2023
2023,Flawless Foundation,Face,Atlanta,GA,2,81,40," 3,240.00 ",7/1/2023
2023,Cream Blush,Face,Phoenix,AZ,7,73,25," 1,825.00 ",2/1/2023
2024,Illuminating Highlighter,Face,Philadelphia,PA,19,74,25," 1,850.00 ",10/1/2024
2021,Precision Eyeliner,Eyes,Las Vegas,NV,18,65,10, 650.00 ,3/1/2021
2021,Lip Liner Cream Pencil,Lips,Houston,TX,12,57,10, 570.00 ,4/1/2021
2023,Flawless Foundation,Face,Chicago,IL,1,116,40," 4,640.00 ",10/1/2023
2023,Precision Eyeliner,Eyes,Dallas,TX,2,101,10," 1,010.00 ",9/1/2023
2021,Lip Liner Cream Pencil,Lips,Miami,FL,11,157,10," 1,570.00 ",9/1/2021
2023,Radiant Concealer,Face,Dallas,TX,4,164,30," 4,920.00 ",1/1/2023
2023,Flawless Foundation,Face,Dallas,TX,19,74,40," 2,960.00 ",6/1/2023
2023,Lip Liner Cream Pencil,Lips,Detroit,MI,1,153,10," 1,530.00 ",3/1/2023
2023,Matte Liquid Lipstick,Lips,New York,NY,16,138,12," 1,656.00 ",1/1/2023
2022,Velvet Eyeshadow Palette,Eyes,New York,NY,4,41,20, 820.00 ,7/1/2022
2022,Radiant Concealer,Face,Washington D.C.,DC,10,102,30," 3,060.00 ",1/1/2022
2021,Matte Liquid Lipstick,Lips,Dallas,TX,10,42,12, 504.00 ,11/1/2021
2024,Illuminating Highlighter,Face,Boston,MA,16,75,25," 1,875.00 ",2/1/2024
2021,Illuminating Highlighter,Face,Atlanta,GA,11,154,25," 3,850.00 ",5/1/2021
2021,Velvet Eyeshadow Palette,Eyes,Phoenix,AZ,17,56,20," 1,120.00 ",3/1/2021
2021,Lip Liner Cream Pencil,Lips,Houston,TX,9,148,10," 1,480.00 ",4/1/2021
2021,Matte Liquid Lipstick,Lips,San Diego,CA,7,48,12, 576.00 ,12/1/2021
2022,Radiant Concealer,Face,Chicago,IL,7,159,30," 4,770.00 ",5/1/2022
2022,Velvet Eyeshadow Palette,Eyes,Detroit,MI,5,199,20," 3,980.00 ",1/1/2022
2022,Flawless Foundation,Face,Atlanta,GA,7,175,40," 7,000.00 ",5/1/2022
2021,Cream Blush,Face,Las Vegas,NV,18,124,25," 3,100.00 ",10/1/2021
2024,Radiant Concealer,Face,Phoenix,AZ,6,65,30," 1,950.00 ",12/1/2024
2022,Illuminating Highlighter,Face,Atlanta,GA,3,126,25," 3,150.00 ",1/1/2022
2024,Flawless Foundation,Face,Chicago,IL,8,133,40," 5,320.00 ",3/1/2024
2024,Radiant Concealer,Face,Boston,MA,13,66,30," 1,980.00 ",4/1/2024
2022,Lip Liner Cream Pencil,Lips,Atlanta,GA,1,117,10," 1,170.00 ",1/1/2022
2024,Lip Liner Cream Pencil,Lips,Dallas,TX,14,70,10, 700.00 ,12/1/2024
2024,Luxe Mascara,Eyes,Atlanta,GA,13,103,15," 1,545.00 ",10/1/2024
2022,Luxe Mascara,Eyes,Los Angeles,CA,7,160,15," 2,400.00 ",12/1/2022
2024,Cream Blush,Face,Boston,MA,9,109,25," 2,725.00 ",5/1/2024
2023,Lip Liner Cream Pencil,Lips,Chicago,IL,5,115,10," 1,150.00 ",6/1/2023
2022,Luxe Mascara,Eyes,Chicago,IL,6,105,15," 1,575.00 ",9/1/2022
2022,Cream Blush,Face,Phoenix,AZ,11,43,25," 1,075.00 ",10/1/2022
2024,Flawless Foundation,Face,Washington D.C.,DC,18,134,40," 5,360.00 ",12/1/2024
2022,Velvet Eyeshadow Palette,Eyes,Philadelphia,PA,2,75,20," 1,500.00 ",8/1/2022
2023,Lip Liner Cream Pencil,Lips,Los Angeles,CA,8,93,10, 930.00 ,10/1/2023
2022,Lip Liner Cream Pencil,Lips,Dallas,TX,11,181,10," 1,810.00 ",5/1/2022
2024,Glossy Lip Stain,Lips,Chicago,IL,2,94,8, 752.00 ,3/1/2024
2023,Velvet Eyeshadow Palette,Eyes,Chicago,IL,4,86,20," 1,720.00 ",7/1/2023
2021,Glossy Lip Stain,Lips,Los Angeles,CA,7,97,8, 776.00 ,4/1/2021
2024,Glossy Lip Stain,Lips,Detroit,MI,18,69,8, 552.00 ,11/1/2024
2023,Radiant Concealer,Face,Chicago,IL,2,172,30," 5,160.00 ",8/1/2023
2023,Illuminating Highlighter,Face,San Diego,CA,4,50,25," 1,250.00 ",12/1/2023
2023,Glossy Lip Stain,Lips,Detroit,MI,2,137,8," 1,096.00 ",5/1/2023
2024,Lip Liner Cream Pencil,Lips,Houston,TX,13,175,10," 1,750.00 ",4/1/2024
2023,Cream Blush,Face,Las Vegas,NV,7,109,25," 2,725.00 ",7/1/2023
2022,Flawless Foundation,Face,Washington D.C.,DC,1,52,40," 2,080.00 ",7/1/2022
2024,Illuminating Highlighter,Face,Philadelphia,PA,13,82,25," 2,050.00 ",12/1/2024
2023,Matte Liquid Lipstick,Lips,San Francisco,CA,8,164,12," 1,968.00 ",9/1/2023
2022,Flawless Foundation,Face,Atlanta,GA,10,163,40," 6,520.00 ",6/1/2022
2023,Flawless Foundation,Face,Boston,MA,9,162,40," 6,480.00 ",7/1/2023
2022,Luxe Mascara,Eyes,New York,NY,17,64,15, 960.00 ,4/1/2022
2021,Illuminating Highlighter,Face,New York,NY,3,143,25," 3,575.00 ",11/1/2021
2021,Glossy Lip Stain,Lips,Los Angeles,CA,16,94,8, 752.00 ,7/1/2021
2024,Lip Liner Cream Pencil,Lips,Phoenix,AZ,10,134,10," 1,340.00 ",6/1/2024
2023,Radiant Concealer,Face,Philadelphia,PA,4,173,30," 5,190.00 ",12/1/2023
2024,Flawless Foundation,Face,Atlanta,GA,8,95,40," 3,800.00 ",8/1/2024
2021,Matte Liquid Lipstick,Lips,San Francisco,CA,7,174,12," 2,088.00 ",12/1/2021
2022,Cream Blush,Face,Las Vegas,NV,6,129,25," 3,225.00 ",5/1/2022
2024,Radiant Concealer,Face,Los Angeles,CA,17,121,30," 3,630.00 ",2/1/2024
2023,Illuminating Highlighter,Face,Philadelphia,PA,9,195,25," 4,875.00 ",10/1/2023
2023,Flawless Foundation,Face,Chicago,IL,13,51,40," 2,040.00 ",9/1/2023
2021,Cream Blush,Face,San Diego,CA,5,54,25," 1,350.00 ",11/1/2021
2024,Lip Liner Cream Pencil,Lips,Miami,FL,14,190,10," 1,900.00 ",5/1/2024
2024,Lip Liner Cream Pencil,Lips,Miami,FL,14,56,10, 560.00 ,12/1/2024
2024,Glossy Lip Stain,Lips,Phoenix,AZ,9,162,8," 1,296.00 ",10/1/2024
2024,Precision Eyeliner,Eyes,Miami,FL,6,56,10, 560.00 ,3/1/2024
2021,Velvet Eyeshadow Palette,Eyes,Boston,MA,17,106,20," 2,120.00 ",1/1/2021
2023,Flawless Foundation,Face,Los Angeles,CA,4,106,40," 4,240.00 ",12/1/2023
2023,Radiant Concealer,Face,Houston,TX,15,91,30," 2,730.00 ",8/1/2023
2024,Velvet Eyeshadow Palette,Eyes,Los Angeles,CA,4,158,20," 3,160.00 ",9/1/2024
2022,Cream Blush,Face,Chicago,IL,14,180,25," 4,500.00 ",2/1/2022
2022,Matte Liquid Lipstick,Lips,Phoenix,AZ,18,44,12, 528.00 ,6/1/2022
2024,Flawless Foundation,Face,Boston,MA,17,107,40," 4,280.00 ",8/1/2024
2022,Radiant Concealer,Face,Chicago,IL,7,144,30," 4,320.00 ",8/1/2022
2022,Matte Liquid Lipstick,Lips,Washington D.C.,DC,6,143,12," 1,716.00 ",6/1/2022
2022,Glossy Lip Stain,Lips,Philadelphia,PA,13,70,8, 560.00 ,8/1/2022
